Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001003,Male,Yes,1,Graduate,No,8.430327258394575,7.319202458767849,4.859812404361672,5.8888779583328805,1.0,Rural,N
LP001005,Male,Yes,0,Graduate,Yes,8.006700845440367,0.0,4.204692619390966,5.8888779583328805,1.0,Urban,Y
LP001006,Male,Yes,0,Not Graduate,No,7.857093864902493,7.765993079407675,4.795790545596741,5.8888779583328805,1.0,Urban,Y
LP001008,Male,No,0,Graduate,No,8.699681400989514,0.0,4.955827057601261,5.8888779583328805,1.0,Urban,Y
LP001011,Male,Yes,2,Graduate,Yes,8.59748202264504,8.34212526333359,5.5909869805108565,5.8888779583328805,1.0,Urban,Y
LP001013,Male,Yes,0,Not Graduate,No,7.755338812846501,7.324489979348532,4.564348191467836,5.8888779583328805,1.0,Urban,Y
LP001014,Male,Yes,3+,Graduate,No,8.01862546504575,7.826044013518965,5.0689042022202315,5.8888779583328805,0.0,Semiurban,N
LP001018,Male,Yes,2,Graduate,No,8.295798110636145,7.3310603052186325,5.1298987149230735,5.8888779583328805,1.0,Urban,Y
LP001020,Male,Yes,1,Graduate,No,9.460476328353995,9.302828391411333,5.857933154483459,5.8888779583328805,1.0,Semiurban,N
LP001024,Male,Yes,2,Graduate,No,8.071218539969863,6.55250788703459,4.2626798770413155,5.8888779583328805,1.0,Urban,Y
LP001028,Male,Yes,2,Graduate,No,8.03073492409854,9.000483164987708,5.303304908059076,5.8888779583328805,1.0,Urban,Y
LP001029,Male,No,0,Graduate,No,7.5251007461258,7.951911381854188,4.74493212836325,5.8888779583328805,1.0,Rural,N
LP001030,Male,Yes,2,Graduate,No,7.170119543449628,6.99117688712121,2.8903717578961645,4.795790545596741,1.0,Urban,Y
LP001032,Male,No,0,Graduate,No,8.507344855361422,0.0,4.836281906951478,5.8888779583328805,1.0,Urban,Y
LP001036,Female,No,0,Graduate,No,8.163656176168432,0.0,4.343805421853684,5.8888779583328805,0.0,Urban,N
LP001038,Male,Yes,0,Not Graduate,No,8.494538500851432,0.0,4.897839799950911,5.8888779583328805,1.0,Rural,N
LP001043,Male,Yes,0,Not Graduate,No,8.94389780251682,0.0,4.653960350157523,5.8888779583328805,0.0,Urban,N
LP001046,Male,Yes,1,Graduate,No,8.6921543938039,8.635153989049803,5.755742213586912,5.8888779583328805,1.0,Urban,Y
LP001047,Male,Yes,0,Not Graduate,No,7.8636512654486515,7.555905093611346,4.762173934797756,5.8888779583328805,0.0,Semiurban,N
LP001066,Male,Yes,0,Graduate,Yes,9.165447603085447,0.0,5.2574953720277815,5.8888779583328805,1.0,Semiurban,Y
LP001068,Male,Yes,0,Graduate,No,7.937374696163295,7.720461694599722,4.812184355372417,5.8888779583328805,1.0,Semiurban,Y
LP001073,Male,Yes,2,Not Graduate,No,8.34924780056679,6.947937068614969,4.709530201312334,5.8888779583328805,1.0,Urban,Y
LP001086,Male,No,0,Not Graduate,No,7.274479558773871,0.0,3.58351893845611,5.8888779583328805,1.0,Urban,N
LP001095,Male,No,0,Graduate,No,8.060855752934316,0.0,4.31748811353631,5.8888779583328805,1.0,Urban,N
LP001097,Male,No,1,Graduate,Yes,8.453827315794417,0.0,4.672828834461906,5.8888779583328805,1.0,Rural,N
LP001098,Male,Yes,0,Graduate,No,8.160803920954665,7.419380582918692,4.74493212836325,5.8888779583328805,1.0,Semiurban,Y
LP001100,Male,No,3+,Graduate,No,9.433563920090563,8.006700845440367,5.771441123130016,5.8888779583328805,1.0,Rural,N
LP001112,Female,Yes,0,Graduate,No,8.207401833376355,7.286191714702382,4.976733742420574,5.8888779583328805,1.0,Semiurban,Y
LP001114,Male,No,0,Graduate,No,8.334951631422454,8.88336291691676,5.220355825078324,5.8888779583328805,1.0,Urban,Y
LP001116,Male,No,0,Not Graduate,No,8.229244416735913,7.419979923661835,4.709530201312334,5.8888779583328805,1.0,Semiurban,Y
LP001119,Male,No,0,Graduate,No,8.188966863648876,0.0,4.394449154672439,5.8888779583328805,1.0,Urban,N
LP001120,Male,No,0,Graduate,No,7.496097345175956,7.101675971619444,3.871201010907891,5.8888779583328805,1.0,Urban,Y
LP001131,Male,Yes,0,Graduate,No,8.279443487712665,7.756623334538858,4.90527477843843,5.8888779583328805,1.0,Semiurban,Y
LP001138,Male,Yes,1,Graduate,No,8.639410824140487,0.0,3.8066624897703196,5.8888779583328805,1.0,Urban,Y
LP001144,Male,Yes,0,Graduate,No,8.669399124305569,0.0,4.976733742420574,5.8888779583328805,1.0,Urban,Y
LP001146,Female,Yes,0,Graduate,No,7.880804344674901,8.14351740579748,4.795790545596741,5.8888779583328805,0.0,Urban,N
LP001151,Female,No,0,Graduate,No,8.294299608857235,7.730174795246222,4.976733742420574,5.8888779583328805,1.0,Semiurban,Y
LP001155,Female,Yes,0,Not Graduate,No,7.564757012905729,7.405495663199472,4.61512051684126,5.8888779583328805,1.0,Semiurban,Y
LP001157,Female,No,0,Graduate,No,8.034955024502159,0.0,4.795790545596741,5.8888779583328805,1.0,Semiurban,Y
LP001164,Female,No,0,Graduate,No,8.350193650720067,0.0,4.727387818712341,5.8888779583328805,1.0,Semiurban,N
LP001179,Male,Yes,2,Graduate,No,8.43750042250699,0.0,4.90527477843843,5.8888779583328805,1.0,Urban,N
LP001186,Female,Yes,1,Graduate,Yes,9.350189267092581,0.0,5.659482215759621,5.8888779583328805,0.0,Urban,N
LP001194,Male,Yes,2,Graduate,No,7.904334842085095,7.0630481633881725,4.584967478670572,5.8888779583328805,1.0,Semiurban,Y
LP001195,Male,Yes,0,Graduate,No,7.665284718471351,7.3727463664043285,4.574710978503383,5.8888779583328805,1.0,Semiurban,Y
LP001197,Male,Yes,0,Graduate,No,8.121777419161074,7.696667081526462,4.912654885736052,5.8888779583328805,1.0,Rural,N
LP001198,Male,Yes,1,Graduate,No,8.997270906233448,7.719129840906732,5.198497031265826,5.8888779583328805,1.0,Urban,Y
LP001199,Male,Yes,2,Not Graduate,No,8.119100837637486,7.958576903813898,4.976733742420574,5.8888779583328805,1.0,Urban,Y
LP001205,Male,Yes,0,Graduate,No,7.824445930877619,8.241966560231802,4.795790545596741,5.8888779583328805,1.0,Urban,Y
LP001206,Male,Yes,3+,Graduate,No,8.016317898503415,0.0,4.605170185988092,5.8888779583328805,1.0,Urban,Y
LP001207,Male,Yes,0,Not Graduate,Yes,7.867105500316739,8.146129510025405,5.111987788356544,5.198497031265826,0.0,Rural,N
LP001222,Female,No,0,Graduate,No,8.334951631422454,0.0,4.762173934797756,5.8888779583328805,0.0,Semiurban,N
LP001225,Male,Yes,0,Graduate,No,8.652947112393857,8.432941638968646,5.556828061699537,5.8888779583328805,1.0,Semiurban,N
LP001228,Male,No,0,Not Graduate,No,8.071218539969863,7.720905251936779,4.844187086458591,5.198497031265826,0.0,Urban,N
LP001233,Male,Yes,1,Graduate,No,9.282754052485227,0.0,5.746203190540153,5.8888779583328805,1.0,Urban,Y
LP001238,Male,Yes,3+,Not Graduate,Yes,8.867990898182093,0.0,4.836281906951478,4.110873864173311,1.0,Urban,Y
LP001241,Female,No,0,Graduate,No,8.366602832783736,0.0,4.919980925828125,5.8888779583328805,0.0,Semiurban,N
LP001243,Male,Yes,0,Graduate,No,8.073714641109857,8.028455164114252,5.153291594497779,5.8888779583328805,1.0,Urban,Y
LP001245,Male,Yes,2,Not Graduate,Yes,7.53689712956617,7.53689712956617,4.584967478670572,5.8888779583328805,1.0,Semiurban,Y
LP001248,Male,No,0,Graduate,No,8.160803920954665,0.0,4.406719247264253,5.707110264748875,1.0,Semiurban,Y
LP001253,Male,Yes,3+,Graduate,Yes,8.569216219483389,7.4815557019095165,5.236441962829949,5.8888779583328805,1.0,Semiurban,Y
LP001255,Male,No,0,Graduate,No,8.229777750081887,0.0,4.736198448394496,6.175867270105761,1.0,Urban,N
LP001256,Male,No,0,Graduate,No,8.229777750081887,8.46611040118692,5.176149732573829,5.8888779583328805,1.0,Urban,N
LP001259,Male,Yes,1,Graduate,Yes,6.90875477931522,8.014004994779459,4.709530201312334,5.8888779583328805,1.0,Urban,N
LP001263,Male,Yes,3+,Graduate,No,8.060855752934316,8.294299608857235,5.198497031265826,5.707110264748875,0.0,Semiurban,N
LP001265,Female,No,0,Graduate,No,8.255048902752295,0.0,4.718498871295094,5.8888779583328805,1.0,Semiurban,Y
LP001267,Female,Yes,2,Graduate,No,7.229113877793302,7.540090320145325,5.123963979403259,5.8888779583328805,1.0,Urban,N
LP001275,Male,Yes,1,Graduate,No,8.291295851905407,0.0,3.9318256327243257,5.484796933490655,1.0,Urban,Y
LP001279,Male,No,0,Graduate,No,7.769378609513984,7.836764783264067,4.919980925828125,5.8888779583328805,1.0,Semiurban,Y
LP001282,Male,Yes,0,Graduate,No,7.824445930877619,7.6586995582682995,4.653960350157523,5.8888779583328805,1.0,Semiurban,Y
LP001289,Male,No,0,Graduate,No,9.055672891964043,0.0,5.351858133476067,5.8888779583328805,1.0,Urban,Y
LP001310,Male,Yes,0,Graduate,No,8.647519453091812,8.335191583433202,5.170483995038151,5.8888779583328805,1.0,Semiurban,Y
LP001316,Male,Yes,0,Graduate,No,7.99260665240021,7.972810784121404,4.882801922586371,5.8888779583328805,1.0,Semiurban,Y
LP001318,Male,Yes,2,Graduate,No,8.740496729931813,8.640295388550221,5.241747015059643,5.198497031265826,1.0,Semiurban,Y
LP001319,Male,Yes,2,Not Graduate,No,8.09376775793108,7.507141079727608,4.406719247264253,5.8888779583328805,1.0,Urban,Y
LP001322,Male,No,0,Graduate,No,8.327000740241713,0.0,4.812184355372417,5.8888779583328805,1.0,Semiurban,Y
LP001325,Male,No,0,Not Graduate,No,8.19450550976564,0.0,3.258096538021482,4.795790545596741,1.0,Semiurban,Y
LP001327,Female,Yes,0,Graduate,No,7.818027938530729,7.741967899820685,4.927253685157205,5.8888779583328805,1.0,Semiurban,Y
LP001333,Male,Yes,0,Graduate,No,7.589841512182657,6.905753276311464,3.9318256327243257,5.8888779583328805,1.0,Semiurban,Y
LP001334,Male,Yes,0,Not Graduate,No,8.340217320947035,0.0,4.7535901911063645,5.198497031265826,1.0,Semiurban,Y
LP001343,Male,Yes,0,Graduate,No,7.473069088032197,8.17244681834278,4.882801922586371,5.8888779583328805,1.0,Semiurban,Y
LP001345,Male,Yes,2,Not Graduate,No,8.36380888451688,8.090708716083997,4.897839799950911,5.198497031265826,1.0,Urban,Y
LP001349,Male,No,0,Graduate,No,8.485496104672983,8.244596756382498,5.0238805208462765,5.8888779583328805,1.0,Semiurban,Y
LP001367,Male,Yes,1,Graduate,No,8.023879992734878,6.93828448401696,4.61512051684126,5.8888779583328805,1.0,Urban,Y
LP001369,Male,Yes,2,Graduate,No,9.342946336524205,7.027314514039777,5.420534999272286,5.8888779583328805,1.0,Urban,Y
LP001379,Male,Yes,2,Graduate,No,8.24301946898925,8.188966863648876,5.37989735354046,5.8888779583328805,0.0,Urban,N
LP001384,Male,Yes,3+,Not Graduate,No,7.6362696033793735,6.626717749249025,4.553876891600541,6.175867270105761,1.0,Semiurban,Y
LP001385,Male,No,0,Graduate,No,8.57866451350434,0.0,4.919980925828125,5.8888779583328805,1.0,Urban,Y
LP001401,Male,Yes,1,Graduate,No,9.5876803163585,0.0,5.225746673713202,5.198497031265826,1.0,Rural,Y
LP001404,Female,Yes,0,Graduate,No,8.060855752934316,7.7336835707759,5.043425116919247,5.8888779583328805,1.0,Semiurban,Y
LP001421,Male,Yes,0,Graduate,No,8.624970783589669,7.669961995473577,5.170483995038151,5.8888779583328805,1.0,Rural,N
LP001422,Female,No,0,Graduate,No,9.250426095515468,0.0,5.560681631015528,5.8888779583328805,1.0,Urban,Y
LP001430,Female,No,0,Graduate,No,8.334951631422454,0.0,3.8066624897703196,5.8888779583328805,1.0,Semiurban,Y
LP001431,Female,No,0,Graduate,No,7.6676260915849905,9.10286651367095,4.927253685157205,5.8888779583328805,0.0,Semiurban,Y
LP001432,Male,Yes,2,Graduate,No,7.992268643270745,0.0,4.406719247264253,5.8888779583328805,1.0,Semiurban,Y
LP001439,Male,Yes,0,Not Graduate,No,8.366602832783736,7.608374474380783,5.272999558563747,5.8888779583328805,1.0,Rural,Y
LP001451,Male,Yes,1,Graduate,Yes,9.260462981379394,8.25608813381491,5.081404364984463,5.198497031265826,0.0,Urban,N
LP001473,Male,No,0,Graduate,No,7.608374474380783,7.5652752818989315,4.31748811353631,5.8888779583328805,1.0,Urban,Y
LP001478,Male,No,0,Graduate,No,7.908019444632471,0.0,4.2626798770413155,5.8888779583328805,1.0,Semiurban,Y
LP001482,Male,Yes,0,Graduate,Yes,8.14902386805177,0.0,3.258096538021482,4.795790545596741,1.0,Semiurban,Y
LP001487,Male,No,0,Graduate,No,8.496173824192162,0.0,4.634728988229636,5.8888779583328805,1.0,Semiurban,Y
LP001488,Male,Yes,3+,Graduate,No,8.294299608857235,8.955577146281511,5.673323267171493,5.8888779583328805,1.0,Semiurban,N
LP001489,Female,Yes,0,Graduate,No,8.430327258394575,0.0,4.442651256490317,5.8888779583328805,1.0,Rural,N
LP001491,Male,Yes,2,Graduate,Yes,8.106816038947052,8.160803920954665,4.48863636973214,5.8888779583328805,1.0,Urban,Y
LP001492,Male,No,0,Graduate,No,9.615805480084347,0.0,5.493061443340548,5.8888779583328805,0.0,Semiurban,N
LP001493,Male,Yes,2,Not Graduate,No,8.343077871169383,7.266128779556451,4.867534450455582,5.8888779583328805,1.0,Rural,N
LP001497,Male,Yes,2,Graduate,No,8.525756422076725,7.642044402873258,5.225746673713202,5.8888779583328805,1.0,Rural,N
LP001498,Male,No,0,Graduate,No,8.59748202264504,0.0,5.1298987149230735,5.8888779583328805,1.0,Urban,Y
LP001504,Male,No,0,Graduate,Yes,8.846640813100485,0.0,5.170483995038151,5.198497031265826,1.0,Semiurban,Y
LP001507,Male,Yes,0,Graduate,No,7.900636613018005,7.618251097876695,4.812184355372417,5.8888779583328805,1.0,Semiurban,Y
LP001508,Male,Yes,2,Graduate,No,9.3722891389622,0.0,5.236441962829949,5.198497031265826,1.0,Urban,Y
LP001514,Female,Yes,0,Graduate,No,7.754052639035757,8.408939605975984,4.61512051684126,5.8888779583328805,1.0,Semiurban,Y
LP001516,Female,Yes,2,Graduate,No,9.60689927061335,0.0,4.2626798770413155,5.8888779583328805,1.0,Urban,Y
LP001518,Male,Yes,1,Graduate,No,7.338888133838879,7.262628600974241,3.4339872044851463,5.8888779583328805,1.0,Urban,Y
LP001519,Female,No,0,Graduate,No,9.210440366976517,7.418780882750794,5.420534999272286,5.8888779583328805,1.0,Rural,N
LP001520,Male,Yes,0,Graduate,No,8.488999457045455,6.7226297948554485,4.836281906951478,5.8888779583328805,1.0,Semiurban,Y
LP001528,Male,No,0,Graduate,No,8.744806737401898,0.0,4.77912349311153,5.8888779583328805,0.0,Rural,N
LP001529,Male,Yes,0,Graduate,Yes,7.8547691834991324,8.229777750081887,5.030437921392435,5.8888779583328805,1.0,Rural,Y
LP001531,Male,No,0,Graduate,No,9.123365357961776,0.0,5.501258210544727,5.8888779583328805,1.0,Urban,N
LP001532,Male,Yes,2,Not Graduate,No,7.732807530422021,0.0,4.736198448394496,5.8888779583328805,1.0,Rural,N
LP001535,Male,No,0,Graduate,No,8.08794755464267,0.0,3.9318256327243257,5.8888779583328805,1.0,Urban,Y
LP001536,Male,Yes,3+,Graduate,No,10.596634733096073,0.0,6.398594934535208,5.198497031265826,0.0,Semiurban,Y
LP001543,Male,Yes,1,Graduate,No,9.163143937145207,0.0,5.236441962829949,5.8888779583328805,1.0,Urban,Y
LP001552,Male,Yes,0,Graduate,No,8.430327258394575,8.635153989049803,5.545177444479562,5.8888779583328805,1.0,Semiurban,Y
LP001560,Male,Yes,0,Not Graduate,No,7.530479995245536,6.948897222313312,4.59511985013459,5.8888779583328805,1.0,Semiurban,Y
LP001562,Male,Yes,0,Graduate,No,8.978912601074276,0.0,5.62040086571715,5.8888779583328805,1.0,Urban,N
LP001565,Male,Yes,1,Graduate,No,8.035926369891792,7.155396301896734,4.804021044733257,5.8888779583328805,0.0,Semiurban,N
LP001570,Male,Yes,2,Graduate,No,8.335191583433202,7.277938572945661,5.0689042022202315,5.8888779583328805,1.0,Rural,Y
LP001572,Male,Yes,0,Graduate,No,9.140347000155648,0.0,4.330733340286331,5.198497031265826,1.0,Urban,Y
LP001577,Female,Yes,0,Graduate,No,8.430327258394575,0.0,4.727387818712341,5.8888779583328805,1.0,Rural,N
LP001578,Male,Yes,0,Graduate,No,7.799753318287247,8.111928063310739,4.867534450455582,5.8888779583328805,1.0,Rural,Y
LP001579,Male,No,0,Graduate,No,7.71333788887187,0.0,4.1588830833596715,6.175867270105761,0.0,Semiurban,N
LP001580,Male,Yes,2,Graduate,No,8.987321812850125,0.0,5.303304908059076,5.8888779583328805,1.0,Semiurban,Y
LP001586,Male,Yes,3+,Not Graduate,No,8.167068178341237,0.0,4.406719247264253,5.198497031265826,1.0,Rural,N
LP001594,Male,Yes,0,Graduate,No,8.64979915596426,8.635153989049803,5.236441962829949,5.8888779583328805,1.0,Semiurban,Y
LP001603,Male,Yes,0,Not Graduate,Yes,8.376781037699493,6.602587892189336,4.477336814478207,5.8888779583328805,1.0,Semiurban,N
LP001606,Male,Yes,0,Graduate,No,8.159946655578548,7.583247524303362,4.762173934797756,5.8888779583328805,1.0,Rural,Y
LP001608,Male,Yes,2,Graduate,No,7.6236419465115715,7.3901814282264295,4.624972813284271,5.8888779583328805,1.0,Rural,Y
LP001610,Male,Yes,3+,Graduate,No,8.61558951327243,9.332646496360152,6.206575926724928,5.8888779583328805,0.0,Semiurban,N
LP001616,Male,Yes,1,Graduate,No,8.229777750081887,0.0,4.762173934797756,5.8888779583328805,1.0,Semiurban,Y
LP001630,Male,No,0,Not Graduate,No,7.755338812846501,7.280697195384741,4.634728988229636,6.175867270105761,0.0,Urban,N
LP001633,Male,Yes,1,Graduate,No,8.764209507142004,8.888894669371593,5.198497031265826,5.8888779583328805,0.0,Urban,N
LP001636,Male,Yes,0,Graduate,No,8.434028950155469,0.0,4.30406509320417,5.198497031265826,1.0,Semiurban,Y
LP001637,Male,Yes,1,Graduate,No,10.429605648120413,0.0,5.564520407322694,5.8888779583328805,1.0,Semiurban,N
LP001639,Female,Yes,0,Graduate,No,8.195885391314796,0.0,4.6913478822291435,5.8888779583328805,1.0,Semiurban,Y
LP001640,Male,Yes,0,Graduate,Yes,10.57510461454571,8.46611040118692,4.795790545596741,5.8888779583328805,1.0,Semiurban,Y
LP001641,Male,Yes,1,Graduate,Yes,7.68662133494462,0.0,4.204692619390966,5.707110264748875,0.0,Rural,N
LP001647,Male,Yes,0,Graduate,No,9.140883106960962,0.0,5.241747015059643,5.198497031265826,1.0,Rural,Y
LP001653,Male,No,0,Not Graduate,No,8.494129251817686,0.0,3.8918202981106265,5.8888779583328805,1.0,Rural,Y
LP001656,Male,No,0,Graduate,No,9.392745258631441,0.0,5.10594547390058,5.8888779583328805,1.0,Semiurban,N
LP001657,Male,Yes,0,Not Graduate,No,8.705165419719007,0.0,5.081404364984463,5.8888779583328805,1.0,Urban,N
LP001658,Male,No,0,Graduate,No,8.258163361537619,0.0,4.343805421853684,5.8888779583328805,1.0,Semiurban,Y
LP001664,Male,No,0,Graduate,No,8.340933226000878,0.0,4.795790545596741,5.8888779583328805,1.0,Rural,Y
LP001665,Male,Yes,1,Graduate,No,8.047509510981422,7.857093864902493,5.14166355650266,5.8888779583328805,1.0,Semiurban,N
LP001666,Male,No,0,Graduate,No,9.0280988119824,8.229777750081887,5.236441962829949,5.8888779583328805,1.0,Rural,Y
LP001673,Male,No,0,Graduate,Yes,9.305741456739435,0.0,4.430816798843313,5.8888779583328805,1.0,Urban,N
LP001674,Male,Yes,1,Not Graduate,No,7.8636512654486515,7.824445930877619,4.51085950651685,5.8888779583328805,1.0,Semiurban,Y
LP001677,Male,No,2,Graduate,No,8.501876487304344,0.0,5.117993812416755,5.8888779583328805,0.0,Semiurban,Y
LP001688,Male,Yes,1,Not Graduate,No,8.160803920954665,6.988413181999592,4.912654885736052,5.8888779583328805,1.0,Urban,Y
